BUS_NO,START,END,NAME,TIME,COST,DAY,TICKETS
M8102,MYSORE,KANYAKUMARI,KSRTC,5:30PM,560.0,TUESDAY,98.0
M8103,MYSORE,KANYAKUMARI,JETLINE,6:45PM,540.0,WEDNESDAY,100.0
M8104,MYSORE,KANYAKUMARI,GREENLINE,7:15PM,530.0,THURSDAY,110.0
M8105,MYSORE,KANYAKUMARI,REDBUS,8:00PM,570.0,FRIDAY,95.0
C9101,CHENNAI,MYSORE,KSRTC,6:00AM,320.0,MONDAY,100.0
C9102,CHENNAI,MYSORE,MODERN_BUS,7:30AM,330.0,TUESDAY,105.0
C9103,CHENNAI,MYSORE,GREENLINE,8:45AM,315.0,WEDNESDAY,110.0
C9104,CHENNAI,MYSORE,SKYLINE,10:00AM,325.0,THURSDAY,115.0
C9105,CHENNAI,MYSORE,ROYAL_TRAVELS,11:15AM,310.0,FRIDAY,120.0
B9301,BANGALORE,RAMESHWARAM,ORANGE_TOURS,8:00AM,450.0,MONDAY,111.0
B9302,BANGALORE,RAMESHWARAM,MODERN_BUS,9:30AM,460.0,TUESDAY,105.0
B9303,BANGALORE,RAMESHWARAM,KSRTC,10:45AM,470.0,WEDNESDAY,98.0
B9304,BANGALORE,RAMESHWARAM,GREENLINE,12:00PM,440.0,THURSDAY,120.0
B9305,BANGALORE,RAMESHWARAM,JETLINE,1:15PM,455.0,FRIDAY,115.0
R9401,RAMESHWARAM,BANGALORE,NATIONAL_TRAVELS,6:00AM,520.0,MONDAY,100.0
R9402,RAMESHWARAM,BANGALORE,REDBUS,7:30AM,530.0,TUESDAY,105.0
R9403,RAMESHWARAM,BANGALORE,JETLINE,8:45AM,510.0,WEDNESDAY,95.0
R9404,RAMESHWARAM,BANGALORE,KSRTC,10:00AM,525.0,THURSDAY,110.0
R9405,RAMESHWARAM,BANGALORE,SKYLINE,11:15AM,540.0,FRIDAY,120.0
K9501,KANYAKUMARI,MYSORE,GREENLINE,7:00AM,470.0,MONDAY,108.0
K9502,KANYAKUMARI,MYSORE,KSRTC,8:15AM,460.0,TUESDAY,115.0
K9503,KANYAKUMARI,MYSORE,ROYAL_TRAVELS,9:30AM,480.0,WEDNESDAY,105.0
K9504,KANYAKUMARI,MYSORE,ORANGE_TOURS,10:45AM,450.0,THURSDAY,110.0
K9505,KANYAKUMARI,MYSORE,JETLINE,12:00PM,465.0,FRIDAY,112.0
M9601,MYSORE,RAMESHWARAM,KSRTC,6:30AM,500.0,MONDAY,95.0
M9602,MYSORE,RAMESHWARAM,SKYLINE,7:45AM,510.0,TUESDAY,100.0
M9603,MYSORE,RAMESHWARAM,GREENLINE,9:00AM,520.0,WEDNESDAY,92.0
M9604,MYSORE,RAMESHWARAM,ROYAL_TRAVELS,10:15AM,505.0,THURSDAY,97.0
M9605,MYSORE,RAMESHWARAM,REDBUS,11:30AM,495.0,FRIDAY,108.0
C9701,CHENNAI,KANYAKUMARI,KSRTC,6:00AM,600.0,MONDAY,130.0
C9702,CHENNAI,KANYAKUMARI,GREENLINE,7:30AM,580.0,TUESDAY,120.0
C9703,CHENNAI,KANYAKUMARI,ROYAL_TRAVELS,8:45AM,590.0,WEDNESDAY,125.0
C9704,CHENNAI,KANYAKUMARI,ORANGE_TOURS,10:00AM,610.0,THURSDAY,135.0
C9705,CHENNAI,KANYAKUMARI,JETLINE,11:15AM,595.0,FRIDAY,115.0
B9801,BANGALORE,KANYAKUMARI,SKYLINE,5:30AM,550.0,MONDAY,128.0
B9802,BANGALORE,KANYAKUMARI,MODERN_BUS,7:00AM,560.0,TUESDAY,132.0
B9803,BANGALORE,KANYAKUMARI,GREENLINE,8:15AM,570.0,WEDNESDAY,130.0
B9804,BANGALORE,KANYAKUMARI,KSRTC,9:45AM,580.0,THURSDAY,125.0
B9805,BANGALORE,KANYAKUMARI,REDBUS,11:00AM,590.0,FRIDAY,135.0
R9901,RAMESHWARAM,MYSORE,KSRTC,6:00AM,430.0,MONDAY,110.0
R9902,RAMESHWARAM,MYSORE,GREENLINE,7:15AM,440.0,TUESDAY,105.0
R9903,RAMESHWARAM,MYSORE,SRS_TRAVELS,8:30AM,420.0,WEDNESDAY,108.0
R9904,RAMESHWARAM,MYSORE,SKYLINE,9:45AM,435.0,THURSDAY,102.0
R9905,RAMESHWARAM,MYSORE,JETLINE,11:00AM,425.0,FRIDAY,115.0
K9911,KANYAKUMARI,RAMESHWARAM,ROYAL_TRAVELS,7:00AM,250.0,MONDAY,100.0
K9912,KANYAKUMARI,RAMESHWARAM,MODERN_BUS,8:15AM,260.0,TUESDAY,95.0
K9913,KANYAKUMARI,RAMESHWARAM,GREENLINE,9:30AM,240.0,WEDNESDAY,90.0
K9914,KANYAKUMARI,RAMESHWARAM,KSRTC,10:45AM,255.0,THURSDAY,105.0
K9915,KANYAKUMARI,RAMESHWARAM,REDBUS,12:00PM,245.0,FRIDAY,110.0

